segment_id,window_type,source_run,adsc_lat_min,adsc_lat_max,adsc_lon_min,adsc_lon_max
20230712_06a0e8_103749_111535,day-window (old),step1_raw_20230707_20230731,18.61135482788086,20.881061553955078,64.35310363769531,68.86762619018555
20230713_06a10e_090450_103027,day-window (old),step1_raw_20230707_20230731,26.743125915527344,29.114456176757812,34.39098358154297,47.87412643432617
20230713_75044b_100931_104907,day-window (old),step1_raw_20230707_20230731,21.257686614990234,25.639514923095703,64.96971130371094,68.80891799926758
20230714_8964bc_145443_155730,day-window (old),step1_raw_20230707_20230731,-0.8807945251464844,5.782585144042969,43.3439826965332,47.562904357910156
20230717_06a0e7_103421_113843,day-window (old),step1_raw_20230707_20230731,15.277175903320312,19.718914031982422,62.43684768676758,69.50157165527344
20230717_06a111_150424_150528,day-window (old),step1_raw_20230707_20230731,27.871627807617188,27.94046401977539,44.15473937988281,44.298248291015625
20230718_06a0f4_155433_160256,day-window (old),step1_raw_20230707_20230731,75.6243896484375,76.38553619384766,3.7293434143066406,7.465553283691406
20230723_06a040_134217_134425,day-window (old),step1_raw_20230707_20230731,36.139869689941406,36.177120208740234,10.451431274414062,10.763511657714844
20230723_06a0e8_093532_101259,day-window (old),step1_raw_20230707_20230731,27.173309326171875,29.076519012451172,38.896751403808594,44.34734344482422
20230723_896488_142610_151647,day-window (old),step1_raw_20230707_20230731,-1.1338233947753906,4.374275207519531,43.173179626464844,46.73240661621094
20230724_06a103_103843_111707,day-window (old),step1_raw_20230707_20230731,18.15439224243164,20.76519012451172,62.54636764526367,67.67560958862305
20240312_40688b_163354_193412,day-window (old),step1_raw_20240312_20240313,5.731258392333984,29.271697998046875,6.672306060791016,16.759815216064453
20240313_3c6709_160725_172641,day-window (old),step1_raw_20240312_20240313,14.40908432006836,25.70302963256836,2.8257179260253906,6.194744110107422
20240313_406d4c_174721_184119,day-window (old),step1_raw_20240312_20240313,20.46031951904297,27.517318725585938,1.4495086669921875,1.8735122680664062
